lat,lon,weight,offense
32.71050765,-117.1538094,3.0,Drug/narcotic Violations
32.71142638,-117.0850746,3.0,Shoplifting
32.71142638,-117.0850746,3.0,All Other Offenses
32.55485302,-116.9700041,3.0,Theft From Motor Vehicle
32.55485302,-116.9700041,3.0,Destruction/Damage/Vandalism of Property
32.76859499,-117.0536288,3.0,All Other Offenses
32.70650377,-117.1251729,3.0,Destruction/Damage/Vandalism of Property
32.73041213,-117.1594666,3.0,Theft From Motor Vehicle
32.74850391,-117.1300766,3.0,All Other Offenses
32.76507599,-117.0607221,3.0,Intimidation
32.84226298,-117.2804753,3.0,Theft of Motor Vehicle Parts/Accessories
32.74377441,-117.2348345,3.0,Intimidation
33.02033764,-117.0748025,3.0,Shoplifting
32.70861812,-117.0849971,3.0,Driving Under the Influence
32.70861812,-117.0849971,3.0,All Other Offenses
32.98169609,-117.077052,3.0,All Other Larceny
32.98169609,-117.077052,3.0,All Other Offenses
32.74992166,-117.1616202,3.0,Simple Assault
32.75514835,-117.1002977,3.0,All Other Larceny
32.7104505,-117.1537411,3.0,Drug/narcotic Violations
32.7104505,-117.1537411,3.0,Drug Equipment Violations
32.71504785,-117.0833068,3.0,Drug/narcotic Violations
32.71504785,-117.0833068,3.0,Weapon Law Violations
32.70633489,-117.150281,3.0,All Other Offenses
32.5788318,-117.0579972,3.0,Intimidation
32.71465919,-117.1592528,3.0,Simple Assault
32.70632925,-117.1536354,3.0,All Other Offenses
32.79057384,-117.1723922,3.0,Simple Assault
32.70841833,-117.1504012,3.0,All Other Offenses
32.7484538,-117.092193,9.0,Aggravated Assault
32.71362857,-117.1592421,3.0,All Other Offenses
32.76337833,-117.1172122,3.0,Burglary/Breaking & Entering
32.75315342,-117.2031978,3.0,All Other Offenses
32.5454942,-117.0425302,3.0,Shoplifting
32.75892157,-117.1074647,4.0,Motor Vehicle Theft
32.74973862,-117.2061518,3.0,Drug/narcotic Violations
32.74973862,-117.2061518,3.0,Drug Equipment Violations
32.74973862,-117.2061518,3.0,Curfew/Loitering/Vagrancy Violations
32.74973862,-117.2061518,3.0,All Other Offenses
32.71368225,-117.1600782,3.0,Disorderly Conduct
32.75316346,-117.0923003,3.0,Intimidation
32.75316346,-117.0923003,3.0,All Other Offenses
32.75336256,-117.1190906,9.0,Aggravated Assault
32.71159759,-117.1519911,3.0,Burglary/Breaking & Entering
32.72605061,-117.0974285,9.0,Aggravated Assault
32.68796861,-117.1128816,3.0,Simple Assault
32.71793208,-117.1449646,4.0,Motor Vehicle Theft
32.79796806,-117.2539008,4.0,Motor Vehicle Theft
32.91222572,-117.1636292,3.0,Simple Assault
32.7590849,-117.1792046,3.0,Sexual Assault With an Object
32.7590849,-117.1792046,3.0,Drug/narcotic Violations
32.7590849,-117.1792046,3.0,Weapon Law Violations
32.8566237,-117.2051236,9.0,Aggravated Assault
32.8566237,-117.2051236,3.0,Simple Assault
32.8229127,-117.1841159,3.0,Disorderly Conduct
32.71920056,-117.2407663,4.0,Motor Vehicle Theft
32.70843001,-117.1518152,3.0,Drug Equipment Violations
32.76356055,-117.203981,3.0,Simple Assault
32.76356055,-117.203981,3.0,Drug/narcotic Violations
32.71676332,-117.1601653,3.0,Drug/narcotic Violations
32.71676332,-117.1601653,3.0,Drug Equipment Violations
32.73569453,-117.1313694,4.0,Motor Vehicle Theft
32.74702884,-117.1584414,3.0,Destruction/Damage/Vandalism of Property
32.57664428,-117.1205462,3.0,Driving Under the Influence
32.80244561,-117.008567,3.0,All Other Offenses
32.75494173,-117.0826531,3.0,Drug/narcotic Violations
32.75494173,-117.0826531,3.0,Drug Equipment Violations
32.76956812,-117.1695926,3.0,Weapon Law Violations
32.70790324,-117.1523356,3.0,Simple Assault
32.75547722,-117.2010162,3.0,All Other Offenses
32.80067041,-117.2371159,3.0,All Other Offenses
32.76476031,-117.1681348,4.0,Motor Vehicle Theft
32.81993364,-117.1803065,3.0,Burglary/Breaking & Entering
32.81993364,-117.1803065,3.0,Weapon Law Violations
32.7531562,-117.2086091,9.0,Robbery
32.7519689,-117.2493969,3.0,Destruction/Damage/Vandalism of Property
32.76103385,-117.1401581,3.0,Burglary/Breaking & Entering
32.76103385,-117.1401581,3.0,Drug Equipment Violations
32.76103385,-117.1401581,3.0,All Other Offenses
32.71893352,-117.1556982,3.0,Simple Assault
32.77312412,-117.0599415,3.0,All Other Offenses
32.90721463,-117.1626084,3.0,Simple Assault
32.71046377,-117.1627818,3.0,All Other Offenses
32.74352147,-117.2434177,3.0,Forcible Rape
32.744033,-117.0967077,4.0,Motor Vehicle Theft
32.70634128,-117.1519498,3.0,Drug/narcotic Violations
32.70634128,-117.1519498,3.0,Drug Equipment Violations
32.70634128,-117.1519498,3.0,All Other Offenses
32.75164471,-117.2026864,3.0,Destruction/Damage/Vandalism of Property
32.72620207,-117.1630556,3.0,Destruction/Damage/Vandalism of Property
32.75408169,-117.1436958,3.0,Destruction/Damage/Vandalism of Property
32.69817341,-117.0871684,3.0,All Other Offenses
32.69177524,-117.1816126,3.0,All Other Offenses
32.82431555,-117.2279812,3.0,Drug Equipment Violations
32.82431555,-117.2279812,3.0,Trespass of Real Property
32.79076671,-117.2059718,3.0,All Other Offenses
32.71681219,-117.16209,3.0,Drug/narcotic Violations
32.74995321,-117.1650973,3.0,Trespass of Real Property
32.74995321,-117.1650973,3.0,All Other Offenses
32.7126891,-117.1486141,3.0,All Other Offenses
32.78202565,-117.1016038,3.0,Simple Assault
32.58234425,-117.1182751,3.0,All Other Offenses
32.72966478,-117.1729789,3.0,All Other Offenses
32.71680885,-117.1628448,3.0,All Other Offenses
32.75420119,-117.059961,3.0,All Other Offenses
32.69696582,-117.0712992,3.0,Disorderly Conduct
32.83163783,-117.1382534,3.0,Theft of Motor Vehicle Parts/Accessories
32.71170138,-117.1319717,3.0,Destruction/Damage/Vandalism of Property
32.76348873,-117.1987239,9.0,Aggravated Assault
32.76348873,-117.1987239,3.0,All Other Offenses
32.72334674,-117.1483102,3.0,Simple Assault
32.69388559,-117.1146539,9.0,Aggravated Assault
32.69388559,-117.1146539,3.0,Simple Assault
32.69388559,-117.1146539,3.0,Disorderly Conduct
32.70947767,-117.1528731,3.0,All Other Offenses
32.73104558,-117.0900833,3.0,All Other Offenses
32.71578582,-117.1547676,3.0,Drug/narcotic Violations
32.78217039,-117.1003269,3.0,Burglary/Breaking & Entering
32.78217039,-117.1003269,3.0,Destruction/Damage/Vandalism of Property
32.75318971,-117.0953942,3.0,Drug Equipment Violations
32.85837766,-117.2271199,3.0,Drug/narcotic Violations
32.76125028,-117.2519164,3.0,All Other Offenses
32.7531562,-117.2086091,3.0,All Other Larceny
